user,company,tags,count
Alice,adobe,Array,9
Alice,adobe,Breadth-firstSearch,1
Alice,adobe,Depth-firstSearch,1
Alice,adobe,UnionFind,1
Alice,adobe,Sort,1
Alice,adobe,LinkedList,3
Alice,adobe,Math,3
Alice,adobe,String,2
Alice,adobe,TwoPointers,2
Alice,adobe,HashTable,1
Alice,adobe,DynamicProgramming,3
Alice,adobe,Design,1
Alice,adobe,DivideandConquer,1
Alice,amazon,Array,16
Alice,amazon,Sort,3
Alice,amazon,DivideandConquer,2
Alice,amazon,Heap,1
Alice,amazon,Math,3
Alice,amazon,String,4
Alice,amazon,LinkedList,3
Alice,amazon,TwoPointers,3
Alice,amazon,HashTable,2
Alice,amazon,DynamicProgramming,3
Alice,amazon,Breadth-firstSearch,1
Alice,amazon,Depth-firstSearch,1
Alice,amazon,UnionFind,1
Alice,amazon,Design,1
Alice,amazon,BitManipulation,1
Alice,apple,Array,12
Alice,apple,Breadth-firstSearch,1
Alice,apple,Depth-firstSearch,1
Alice,apple,UnionFind,1
Alice,apple,Sort,3
Alice,apple,LinkedList,2
Alice,apple,Math,3
Alice,apple,DivideandConquer,2
Alice,apple,Heap,1
Alice,apple,String,2
Alice,apple,HashTable,2
Alice,apple,TwoPointers,2
Alice,apple,Design,1
Alice,apple,DynamicProgramming,3
Alice,bloomberg,Array,8
Alice,bloomberg,Breadth-firstSearch,1
Alice,bloomberg,Depth-firstSearch,1
Alice,bloomberg,UnionFind,1
Alice,bloomberg,Sort,2
Alice,bloomberg,LinkedList,2
Alice,bloomberg,Math,2
Alice,bloomberg,String,1
Alice,bloomberg,HashTable,2
Alice,bloomberg,Design,1
Alice,bloomberg,DivideandConquer,1
Alice,bloomberg,DynamicProgramming,1
Alice,facebook,Array,11
Alice,facebook,Breadth-firstSearch,1
Alice,facebook,Depth-firstSearch,1
Alice,facebook,UnionFind,1
Alice,facebook,Sort,2
Alice,facebook,LinkedList,2
Alice,facebook,Math,3
Alice,facebook,DivideandConquer,2
Alice,facebook,Heap,1
Alice,facebook,String,1
Alice,facebook,HashTable,1
Alice,facebook,DynamicProgramming,2
Alice,facebook,Design,1
Alice,facebook,TwoPointers,1
Alice,google,Array,15
Alice,google,Sort,3
Alice,google,DivideandConquer,2
Alice,google,Heap,1
Alice,google,Math,3
Alice,google,String,3
Alice,google,LinkedList,3
Alice,google,TwoPointers,3
Alice,google,HashTable,2
Alice,google,DynamicProgramming,3
Alice,google,Breadth-firstSearch,1
Alice,google,Depth-firstSearch,1
Alice,google,UnionFind,1
Alice,google,Design,1
Alice,linkedin,Array,4
Alice,linkedin,Breadth-firstSearch,1
Alice,linkedin,Depth-firstSearch,1
Alice,linkedin,UnionFind,1
Alice,linkedin,DivideandConquer,1
Alice,linkedin,DynamicProgramming,1
Alice,linkedin,HashTable,1
Alice,linkedin,Sort,1
Alice,microsoft,Array,15
Alice,microsoft,Sort,3
Alice,microsoft,DivideandConquer,2
Alice,microsoft,Heap,1
Alice,microsoft,Math,3
Alice,microsoft,String,4
Alice,microsoft,LinkedList,3
Alice,microsoft,TwoPointers,3
Alice,microsoft,HashTable,2
Alice,microsoft,DynamicProgramming,3
Alice,microsoft,Breadth-firstSearch,1
Alice,microsoft,Depth-firstSearch,1
Alice,microsoft,UnionFind,1
Alice,microsoft,Design,1
Alice,uber,Array,9
Alice,uber,Breadth-firstSearch,1
Alice,uber,Depth-firstSearch,1
Alice,uber,UnionFind,1
Alice,uber,Sort,2
Alice,uber,LinkedList,2
Alice,uber,Math,2
Alice,uber,String,1
Alice,uber,HashTable,2
Alice,uber,Design,1
Alice,uber,DynamicProgramming,2
Alice,uber,DivideandConquer,1
Alice,uber,TwoPointers,1
Alice,yahoo,LinkedList,2
Alice,yahoo,Math,2
Alice,yahoo,Array,6
Alice,yahoo,HashTable,1
Alice,yahoo,Design,1
Alice,yahoo,DynamicProgramming,2
Alice,yahoo,DivideandConquer,1
Alice,yahoo,TwoPointers,1
Bob,adobe,Array,60
Bob,adobe,Depth-firstSearch,5
Bob,adobe,Tree,6
Bob,adobe,Sort,1
Bob,adobe,Math,13
Bob,adobe,String,15
Bob,adobe,HashTable,7
Bob,adobe,BinarySearch,5
Bob,adobe,Design,2
Bob,adobe,Stack,5
Bob,adobe,DynamicProgramming,12
Bob,adobe,LinkedList,8
Bob,adobe,TwoPointers,12
Bob,adobe,BitManipulation,4
Bob,adobe,DivideandConquer,2
Bob,adobe,Breadth-firstSearch,3
Bob,adobe,Backtracking,1
Bob,adobe,UnionFind,1
Bob,adobe,SlidingWindow,1
Bob,adobe,Heap,1
Bob,adobe,Minimax,1
Bob,adobe,Greedy,2
Bob,amazon,Array,171
Bob,amazon,Depth-firstSearch,19
Bob,amazon,Tree,30
Bob,amazon,LinkedList,18
Bob,amazon,Misc,14
Bob,amazon,HashTable,24
Bob,amazon,String,29
Bob,amazon,Design,8
Bob,amazon,Stack,13
Bob,amazon,Breadth-firstSearch,11
Bob,amazon,Math,16
Bob,amazon,BitManipulation,6
Bob,amazon,DivideandConquer,7
Bob,amazon,DynamicProgramming,23
Bob,amazon,Trie,3
Bob,amazon,BinarySearch,17
Bob,amazon,TwoPointers,27
Bob,amazon,UnionFind,3
Bob,amazon,Heap,9
Bob,amazon,Greedy,4
Bob,amazon,Sort,6
Bob,amazon,Backtracking,7
Bob,amazon,SlidingWindow,2
Bob,amazon,BinaryIndexedTree,1
Bob,amazon,LineSweep,1
Bob,amazon,SegmentTree,1
Bob,amazon,Queue,1
Bob,apple,Array,72
Bob,apple,Depth-firstSearch,5
Bob,apple,Tree,8
Bob,apple,HashTable,15
Bob,apple,String,18
Bob,apple,Design,6
Bob,apple,Stack,4
Bob,apple,LinkedList,7
Bob,apple,TwoPointers,17
Bob,apple,BitManipulation,3
Bob,apple,DynamicProgramming,9
Bob,apple,Math,13
Bob,apple,Breadth-firstSearch,2
Bob,apple,UnionFind,1
Bob,apple,BinarySearch,5
Bob,apple,DivideandConquer,3
Bob,apple,Misc,1
Bob,apple,Backtracking,6
Bob,apple,Trie,2
Bob,apple,Sort,4
Bob,apple,SlidingWindow,2
Bob,apple,Heap,3
Bob,apple,Greedy,1
Bob,apple,Queue,1
Bob,bloomberg,Array,59
Bob,bloomberg,Sort,3
Bob,bloomberg,HashTable,15
Bob,bloomberg,Math,9
Bob,bloomberg,String,10
Bob,bloomberg,Tree,7
Bob,bloomberg,Design,3
Bob,bloomberg,Stack,5
Bob,bloomberg,Heap,5
Bob,bloomberg,LinkedList,9
Bob,bloomberg,Misc,3
Bob,bloomberg,Depth-firstSearch,6
Bob,bloomberg,BinarySearch,7
Bob,bloomberg,TwoPointers,9
Bob,bloomberg,DivideandConquer,2
Bob,bloomberg,DynamicProgramming,8
Bob,bloomberg,Breadth-firstSearch,4
Bob,bloomberg,Backtracking,3
Bob,bloomberg,BitManipulation,1
Bob,bloomberg,UnionFind,1
Bob,bloomberg,Greedy,1
Bob,bloomberg,SlidingWindow,1
Bob,bloomberg,Trie,1
Bob,facebook,Array,111
Bob,facebook,LinkedList,11
Bob,facebook,Math,14
Bob,facebook,String,30
Bob,facebook,Misc,12
Bob,facebook,HashTable,15
Bob,facebook,Design,5
Bob,facebook,Stack,6
Bob,facebook,Breadth-firstSearch,6
Bob,facebook,Tree,15
Bob,facebook,BitManipulation,4
Bob,facebook,DivideandConquer,6
Bob,facebook,BinarySearch,17
Bob,facebook,DynamicProgramming,15
Bob,facebook,TwoPointers,17
Bob,facebook,UnionFind,3
Bob,facebook,Depth-firstSearch,10
Bob,facebook,Heap,5
Bob,facebook,Greedy,4
Bob,facebook,Backtracking,5
Bob,facebook,Trie,2
Bob,facebook,Sort,5
Bob,facebook,SlidingWindow,2
Bob,facebook,Queue,1
Bob,google,Array,163
Bob,google,Math,20
Bob,google,String,28
Bob,google,Misc,19
Bob,google,Depth-firstSearch,16
Bob,google,Tree,25
Bob,google,HashTable,22
Bob,google,Design,7
Bob,google,Stack,10
Bob,google,Breadth-firstSearch,6
Bob,google,BitManipulation,8
Bob,google,DivideandConquer,8
Bob,google,DynamicProgramming,24
Bob,google,LinkedList,15
Bob,google,Trie,2
Bob,google,BinarySearch,24
Bob,google,TwoPointers,23
Bob,google,UnionFind,4
Bob,google,Graph,2
Bob,google,Heap,6
Bob,google,Backtracking,5
Bob,google,Greedy,5
Bob,google,Minimax,1
Bob,google,Sort,4
Bob,google,SlidingWindow,2
Bob,google,BinaryIndexedTree,1
Bob,google,LineSweep,1
Bob,google,SegmentTree,1
Bob,google,OrderedMap,1
Bob,google,Queue,1
Bob,linkedin,Misc,2
Bob,linkedin,Array,32
Bob,linkedin,Sort,1
Bob,linkedin,Math,5
Bob,linkedin,String,7
Bob,linkedin,Breadth-firstSearch,4
Bob,linkedin,Tree,8
Bob,linkedin,Design,2
Bob,linkedin,HashTable,5
Bob,linkedin,DynamicProgramming,3
Bob,linkedin,BitManipulation,1
Bob,linkedin,Stack,2
Bob,linkedin,LinkedList,4
Bob,linkedin,DivideandConquer,2
Bob,linkedin,TwoPointers,4
Bob,linkedin,BinarySearch,4
Bob,linkedin,SlidingWindow,1
Bob,linkedin,Depth-firstSearch,3
Bob,linkedin,UnionFind,1
Bob,linkedin,Heap,1
Bob,linkedin,Backtracking,1
Bob,microsoft,Array,120
Bob,microsoft,Math,16
Bob,microsoft,String,28
Bob,microsoft,Misc,4
Bob,microsoft,HashTable,14
Bob,microsoft,Design,6
Bob,microsoft,Stack,10
Bob,microsoft,Breadth-firstSearch,7
Bob,microsoft,Tree,17
Bob,microsoft,BitManipulation,2
Bob,microsoft,DivideandConquer,6
Bob,microsoft,LinkedList,17
Bob,microsoft,Trie,3
Bob,microsoft,BinarySearch,12
Bob,microsoft,DynamicProgramming,17
Bob,microsoft,TwoPointers,23
Bob,microsoft,Depth-firstSearch,10
Bob,microsoft,UnionFind,1
Bob,microsoft,Heap,6
Bob,microsoft,Backtracking,5
Bob,microsoft,Greedy,3
Bob,microsoft,Sort,4
Bob,microsoft,SlidingWindow,2
Bob,microsoft,BinaryIndexedTree,1
Bob,microsoft,LineSweep,1
Bob,microsoft,SegmentTree,1
Bob,uber,Array,59
Bob,uber,Sort,4
Bob,uber,DynamicProgramming,9
Bob,uber,Math,9
Bob,uber,String,12
Bob,uber,Misc,6
Bob,uber,HashTable,11
Bob,uber,Tree,6
Bob,uber,Design,6
Bob,uber,Stack,4
Bob,uber,Heap,5
Bob,uber,TwoPointers,11
Bob,uber,Breadth-firstSearch,5
Bob,uber,LinkedList,4
Bob,uber,BinarySearch,5
Bob,uber,Depth-firstSearch,6
Bob,uber,UnionFind,3
Bob,uber,DivideandConquer,3
Bob,uber,Backtracking,6
Bob,uber,BitManipulation,1
Bob,uber,SlidingWindow,2
Bob,uber,Trie,1
Bob,uber,BinaryIndexedTree,1
Bob,uber,LineSweep,1
Bob,uber,SegmentTree,1
Bob,uber,Greedy,1
Bob,yahoo,Array,26
Bob,yahoo,Depth-firstSearch,4
Bob,yahoo,Tree,4
Bob,yahoo,HashTable,6
Bob,yahoo,String,5
Bob,yahoo,LinkedList,8
Bob,yahoo,TwoPointers,3
Bob,yahoo,Heap,2
Bob,yahoo,DynamicProgramming,4
Bob,yahoo,Math,5
Bob,yahoo,DivideandConquer,2
Bob,yahoo,Backtracking,1
Bob,yahoo,BitManipulation,1
Bob,yahoo,Design,2
Bob,yahoo,BinarySearch,2
Bob,yahoo,SlidingWindow,1
Bob,yahoo,Stack,1
Carl,adobe,Array,1
Carl,adobe,LinkedList,1
Carl,amazon,Misc,8
Carl,amazon,Array,3
Carl,amazon,LinkedList,1
Carl,amazon,BinarySearch,1
Carl,amazon,Math,1
Carl,apple,Misc,1
Carl,apple,Array,1
Carl,apple,LinkedList,1
Carl,bloomberg,Misc,2
Carl,bloomberg,Array,2
Carl,bloomberg,LinkedList,1
Carl,bloomberg,BinarySearch,1
Carl,bloomberg,Math,1
Carl,facebook,Misc,8
Carl,facebook,Array,3
Carl,facebook,LinkedList,1
Carl,facebook,BinarySearch,1
Carl,facebook,Math,1
Carl,google,Misc,16
Carl,google,Array,4
Carl,google,LinkedList,1
Carl,google,BitManipulation,1
Carl,google,BinarySearch,1
Carl,google,Math,1
Carl,linkedin,Misc,1
Carl,linkedin,Array,1
Carl,linkedin,BinarySearch,1
Carl,linkedin,Math,1
Carl,microsoft,Misc,2
Carl,microsoft,Array,3
Carl,microsoft,BitManipulation,1
Carl,microsoft,LinkedList,1
Carl,microsoft,BinarySearch,1
Carl,microsoft,Math,1
Carl,uber,Misc,4
Carl,uber,Array,2
Carl,uber,LinkedList,1
Carl,uber,BinarySearch,1
Carl,uber,Math,1
Carl,yahoo,Array,1
Carl,yahoo,LinkedList,1
Dave,adobe,Array,4
Dave,adobe,Breadth-firstSearch,1
Dave,adobe,Depth-firstSearch,1
Dave,adobe,UnionFind,1
Dave,adobe,DivideandConquer,2
Dave,adobe,Heap,1
Dave,adobe,LinkedList,1
Dave,adobe,DynamicProgramming,1
Dave,adobe,BinarySearch,1
Dave,adobe,Stack,1
Dave,adobe,TwoPointers,1
Dave,amazon,Array,5
Dave,amazon,Breadth-firstSearch,1
Dave,amazon,Depth-firstSearch,1
Dave,amazon,UnionFind,1
Dave,amazon,DivideandConquer,2
Dave,amazon,Heap,1
Dave,amazon,LinkedList,1
Dave,amazon,DynamicProgramming,1
Dave,amazon,Misc,3
Dave,amazon,BinarySearch,2
Dave,amazon,Stack,1
Dave,amazon,TwoPointers,1
Dave,apple,Array,5
Dave,apple,Breadth-firstSearch,1
Dave,apple,Depth-firstSearch,1
Dave,apple,UnionFind,1
Dave,apple,DivideandConquer,2
Dave,apple,Heap,1
Dave,apple,LinkedList,1
Dave,apple,DynamicProgramming,1
Dave,apple,Misc,2
Dave,apple,BinarySearch,2
Dave,apple,Stack,1
Dave,apple,TwoPointers,1
Dave,bloomberg,Array,3
Dave,bloomberg,Breadth-firstSearch,1
Dave,bloomberg,Depth-firstSearch,1
Dave,bloomberg,UnionFind,1
Dave,bloomberg,Misc,4
Dave,bloomberg,BinarySearch,1
Dave,bloomberg,DivideandConquer,1
Dave,bloomberg,Stack,1
Dave,bloomberg,TwoPointers,1
Dave,facebook,Array,4
Dave,facebook,Breadth-firstSearch,1
Dave,facebook,Depth-firstSearch,1
Dave,facebook,UnionFind,1
Dave,facebook,DivideandConquer,2
Dave,facebook,Heap,1
Dave,facebook,LinkedList,1
Dave,facebook,Misc,5
Dave,facebook,BinarySearch,2
Dave,facebook,Stack,1
Dave,facebook,TwoPointers,1
Dave,google,Array,5
Dave,google,Breadth-firstSearch,1
Dave,google,Depth-firstSearch,1
Dave,google,UnionFind,1
Dave,google,BinarySearch,2
Dave,google,DivideandConquer,2
Dave,google,Heap,1
Dave,google,LinkedList,1
Dave,google,Misc,10
Dave,google,DynamicProgramming,1
Dave,google,Stack,1
Dave,google,TwoPointers,1
Dave,linkedin,Array,2
Dave,linkedin,Breadth-firstSearch,1
Dave,linkedin,Depth-firstSearch,1
Dave,linkedin,UnionFind,1
Dave,linkedin,BinarySearch,1
Dave,microsoft,Array,4
Dave,microsoft,Breadth-firstSearch,1
Dave,microsoft,Depth-firstSearch,1
Dave,microsoft,UnionFind,1
Dave,microsoft,DivideandConquer,2
Dave,microsoft,Heap,1
Dave,microsoft,LinkedList,1
Dave,microsoft,DynamicProgramming,1
Dave,microsoft,Misc,3
Dave,microsoft,BinarySearch,1
Dave,microsoft,Stack,1
Dave,microsoft,TwoPointers,1
Dave,uber,Array,6
Dave,uber,Breadth-firstSearch,2
