user,tags,count
Alice,total,25
Alice,Array,21
Alice,DivideandConquer,2
Alice,Heap,1
Alice,Sort,3
Alice,String,5
Alice,DynamicProgramming,4
Alice,TwoPointers,3
Alice,HashTable,2
Alice,LinkedList,3
Alice,Breadth-firstSearch,1
Alice,Depth-firstSearch,1
Alice,UnionFind,1
Alice,BitManipulation,1
Alice,Design,1
Alice,Math,3
Bob,total,397
Bob,Array,349
Bob,TwoPointers,32
Bob,Greedy,12
Bob,Stack,18
Bob,Geometry,1
Bob,Math,51
Bob,String,52
Bob,BinarySearch,29
Bob,DynamicProgramming,48
Bob,HashTable,36
Bob,Minimax,3
Bob,LinkedList,25
Bob,Heap,11
Bob,Breadth-firstSearch,15
Bob,OrderedMap,1
Bob,Depth-firstSearch,29
Bob,Graph,3
Bob,Misc,28
Bob,Tree,45
Bob,BitManipulation,21
Bob,Trie,6
Bob,UnionFind,6
Bob,Queue,1
Bob,Backtracking,12
Bob,SlidingWindow,3
Bob,Design,8
Bob,Sort,7
Bob,DivideandConquer,8
Bob,Brainteaser,1
Bob,BinaryIndexedTree,1
Bob,LineSweep,1
Bob,SegmentTree,1
Carl,total,25
Carl,Misc,21
Carl,Array,4
Carl,LinkedList,1
Carl,BitManipulation,1
Carl,BinarySearch,1
Carl,Math,1
Dave,total,21
Dave,Misc,14
Dave,Array,6
Dave,Breadth-firstSearch,2
Dave,Depth-firstSearch,2
Dave,UnionFind,2
Dave,DynamicProgramming,1
Dave,Stack,1
Dave,TwoPointers,1
Dave,BinarySearch,2
Dave,DivideandConquer,2
Dave,Heap,1
Dave,LinkedList,1
Eve,total,47
Eve,Array,30
Eve,Depth-firstSearch,7
Eve,Brainteaser,1
Eve,DynamicProgramming,11
Eve,Math,7
Eve,Minimax,1
Eve,Breadth-firstSearch,5
Eve,Tree,1
Eve,Graph,4
Eve,Misc,8
Eve,BitManipulation,1
Eve,BinarySearch,3
Eve,TopologicalSort,2
Eve,LinkedList,2
Eve,UnionFind,1
Eve,Sort,2
Eve,String,8
Eve,Design,1
Eve,TwoPointers,3
Eve,DivideandConquer,2
Eve,Greedy,1
Eve,HashTable,2
Eve,SlidingWindow,1
Frank,total,86
Frank,Array,71
Frank,HashTable,9
Frank,SlidingWindow,2
Frank,TwoPointers,10
Frank,Math,5
Frank,Tree,17
Frank,Depth-firstSearch,9
Frank,Heap,6
Frank,Trie,2
Frank,Misc,10
Frank,DynamicProgramming,10
Frank,String,7
Frank,Stack,6
Frank,BinarySearch,7
Frank,Sort,3
Frank,LinkedList,4
Frank,Design,2
Frank,DivideandConquer,2
Frank,Breadth-firstSearch,3
Frank,UnionFind,1
Frank,BitManipulation,1
Frank,Greedy,2
Frank,Backtracking,2
